RunId,iteration,Step,width,height,density,minority_pc,homophily,k,policy,follow_policy,perc_happy,segregation
5469,82,100,50,50,0.75,0.4,3,1,different_neighborhood,0.2,0.9946808510638298,0.6420212765957447
5471,82,100,50,50,0.75,0.4,3,1,different_neighborhood,0.4,0.9967514889009204,0.6585002707092582
5500,83,22,50,50,0.75,0.4,3,1,minimum_improvement,0.0,1.0,0.6550787615426399
5475,82,100,50,50,0.75,0.4,3,1,different_neighborhood,0.8,0.9963350785340314,0.6748691099476439
5501,83,25,50,50,0.75,0.4,3,1,minimum_improvement,0.1,1.0,0.6659505907626209
5502,83,35,50,50,0.75,0.4,3,1,minimum_improvement,0.2,1.0,0.6426486199575372
5473,82,100,50,50,0.75,0.4,3,1,different_neighborhood,0.6,0.9942797711908476,0.6506760270410816
5503,83,27,50,50,0.75,0.4,3,1,minimum_improvement,0.3,1.0,0.6388594164456234
5429,82,100,50,50,0.75,0.4,3,1,distance_relevance,0.6,0.9491891891891892,0.5666216216216217
5504,83,26,50,50,0.75,0.4,3,1,minimum_improvement,0.4,1.0,0.6268577494692145
5490,83,100,50,50,0.75,0.4,3,1,distance_relevance,0.1,0.991005291005291,0.6398148148148148
5505,83,37,50,50,0.75,0.4,3,1,minimum_improvement,0.5,1.0,0.6573408624229979
5506,83,30,50,50,0.75,0.4,3,1,minimum_improvement,0.6,1.0,0.6173004820567756
5382,81,100,50,50,0.75,0.4,3,1,recently_emptied,0.3,0.9850051706308169,0.655894519131334
5189,78,100,50,50,0.75,0.4,3,1,recently_emptied,0.8,0.968833960236432,0.6225147770016121
5507,83,32,50,50,0.75,0.4,3,1,minimum_improvement,0.7,1.0,0.6000267809319765
